key.ref_cf[10604],transition,username,data
001/2014,Em_Analise,alexandre.junio,10/10/2014
001/2014,Em_Desenvolvimento,alexandre.junio,10/10/2014
002/2014,Em_Analise,alexandre.junio,10/10/2014
002/2014,Em_Desenvolvimento,alexandre.junio,10/10/2014
003/2014,Em_Analise,alexandre.junio,10/15/2014
003/2014,Em_Desenvolvimento,alexandre.junio,10/15/2014
004/2014,Em_Analise,alexandre.junio,10/14/2014
004/2014,Em_Desenvolvimento,alexandre.junio,10/14/2014
005/2014,Em_Analise,alexandre.junio,10/14/2014
005/2014,Em_Desenvolvimento,alexandre.junio,10/14/2014
006/2014,Em_Analise,alexandre.junio,10/24/2014
006/2014,Em_Desenvolvimento,alexandre.junio,10/24/2014
007/2014,Em_Analise,alexandre.junio,10/30/2014
007/2014,Em_Desenvolvimento,alexandre.junio,10/30/2014
008/2014,Em_Analise,alexandre.junio,11/3/2014
008/2014,Em_Desenvolvimento,alexandre.junio,11/3/2014
009/2014,Em_Analise,alexandre.junio,11/4/2014
009/2014,Em_Desenvolvimento,alexandre.junio,11/4/2014
010/2014,Em_Analise,alexandre.junio,11/1/2014
010/2014,Em_Desenvolvimento,alexandre.junio,11/1/2014
011/2014,Em_Analise,alexandre.junio,11/4/2014
011/2014,Em_Desenvolvimento,alexandre.junio,11/4/2014
012/2014,Em_Analise,alexandre.junio,11/18/2014
012/2014,Em_Desenvolvimento,alexandre.junio,11/18/2014
013/2014,Em_Analise,alexandre.junio,11/26/2014
013/2014,Em_Desenvolvimento,alexandre.junio,11/26/2014
